Term|Degree|Major|Course
TERM_DESC|DEGREE|MAJOR|COURSE
Fall 2020 COVID19|BA|AFA|UNV 100
Fall 2020 COVID19|BA|ANT|ANT 110
Fall 2020 COVID19|BA|ANT|ANT 271
Fall 2020 COVID19|BA|ANT|ANT 301
Fall 2020 COVID19|BA|ANT|ANT 378
Fall 2020 COVID19|BA|ANT|ANT 380
Fall 2020 COVID19|BA|ANT|ART 120
Fall 2020 COVID19|BA|ANT|BIO 104
Fall 2020 COVID19|BA|ANT|CIS 173
Fall 2020 COVID19|BA|ANT|CPL 318
Fall 2020 COVID19|BA|ANT|CRJ 388
Fall 2020 COVID19|BA|ANT|CSC 365
Fall 2020 COVID19|BA|ANT|CSC 375
Fall 2020 COVID19|BA|ANT|ENG 111
Fall 2020 COVID19|BA|ANT|ENG 213
Fall 2020 COVID19|BA|ANT|ENG 400
Fall 2020 COVID19|BA|ANT|FIN 269
Fall 2020 COVID19|BA|ANT|HIS 222
Fall 2020 COVID19|BA|ANT|HIS 365
Fall 2020 COVID19|BA|ANT|HON 393
Fall 2020 COVID19|BA|ANT|HON 498
Fall 2020 COVID19|BA|ANT|MUS 100
Fall 2020 COVID19|BA|ANT|MUS 401
Fall 2020 COVID19|BA|ANT|POL 120
Fall 2020 COVID19|BA|ANT|POL 190
Fall 2020 COVID19|BA|ANT|SOC 380
Fall 2020 COVID19|BA|ANT|SOC 456
Fall 2020 COVID19|BA|ANT|SPN 112
Fall 2020 COVID19|BA|ANT|TEL 410
Fall 2020 COVID19|BA|ARTH|ANT 110
Fall 2020 COVID19|BA|ARTH|ANT 271
Fall 2020 COVID19|BA|ARTH|ARH 140
Fall 2020 COVID19|BA|ARTH|ARH 303
Fall 2020 COVID19|BA|ARTH|ARH 401
Fall 2020 COVID19|BA|ARTH|AST 120
Fall 2020 COVID19|BA|ARTH|ESS 140
Fall 2020 COVID19|BA|ARTH|FRN 112
Fall 2020 COVID19|BA|ARTH|HIS 113
Fall 2020 COVID19|BA|ARTH|HIS 291
Fall 2020 COVID19|BA|ARTH|PHL 101
Fall 2020 COVID19|BA|ARTH|PHL 165
Fall 2020 COVID19|BA|BIO|BIO 167
Fall 2020 COVID19|BA|BIO|BIO 168
Fall 2020 COVID19|BA|BIO|CIS 128
Fall 2020 COVID19|BA|BIO|NSC 209
Fall 2020 COVID19|BA|BIO|NUR 203
Fall 2020 COVID19|BA|BIOH|AFA 130
Fall 2020 COVID19|BA|BIOH|AFA 203
Fall 2020 COVID19|BA|BIOH|ART 103
Fall 2020 COVID19|BA|BIOH|ART 120
Fall 2020 COVID19|BA|BIOH|ART 131
Fall 2020 COVID19|BA|BIOH|ART 160
Fall 2020 COVID19|BA|BIOH|ASL 111
Fall 2020 COVID19|BA|BIOH|BIO 111
Fall 2020 COVID19|BA|BIOH|BIO 113
Fall 2020 COVID19|BA|BIOH|BIO 135
Fall 2020 COVID19|BA|BIOH|BIO 167
Fall 2020 COVID19|BA|BIOH|BIO 168
Fall 2020 COVID19|BA|BIOH|BIO 326
Fall 2020 COVID19|BA|BIOH|BIO 405
Fall 2020 COVID19|BA|BIOH|BIO 406
Fall 2020 COVID19|BA|BIOH|BIO 433
Fall 2020 COVID19|BA|BIOH|BIO 477
Fall 2020 COVID19|BA|BIOH|BIO 496
Fall 2020 COVID19|BA|BIOH|BUS 110
Fall 2020 COVID19|BA|BIOH|BUS 115
Fall 2020 COVID19|BA|BIOH|BUS 1XX
Fall 2020 COVID19|BA|BIOH|BUS 250
Fall 2020 COVID19|BA|BIOH|BUS 2XX
Fall 2020 COVID19|BA|BIOH|BUS 3XX
Fall 2020 COVID19|BA|BIOH|CHM 150
Fall 2020 COVID19|BA|BIOH|CHM 252
Fall 2020 COVID19|BA|BIOH|CHM 253
Fall 2020 COVID19|BA|BIOH|CHM 260
Fall 2020 COVID19|BA|BIOH|CHM 261
Fall 2020 COVID19|BA|BIOH|CHM 262
Fall 2020 COVID19|BA|BIOH|CHM 263
Fall 2020 COVID19|BA|BIOH|CHM 330
Fall 2020 COVID19|BA|BIOH|CHM 331
Fall 2020 COVID19|BA|BIOH|CHM 332
Fall 2020 COVID19|BA|BIOH|CHM 333
Fall 2020 COVID19|BA|BIOH|CHM 350
Fall 2020 COVID19|BA|BIOH|CIS 128
Fall 2020 COVID19|BA|BIOH|CIS 151
Fall 2020 COVID19|BA|BIOH|CIS 152
Fall 2020 COVID19|BA|BIOH|COM 170
Fall 2020 COVID19|BA|BIOH|COM 210
Fall 2020 COVID19|BA|BIOH|COM 301
Fall 2020 COVID19|BA|BIOH|ELE 1XX
Fall 2020 COVID19|BA|BIOH|ENG 111
Fall 2020 COVID19|BA|BIOH|ENG 112
Fall 2020 COVID19|BA|BIOH|ENG 213
Fall 2020 COVID19|BA|BIOH|FIN 269
Fall 2020 COVID19|BA|BIOH|FRN 112
Fall 2020 COVID19|BA|BIOH|HCR 300
Fall 2020 COVID19|BA|BIOH|HCR 304
Fall 2020 COVID19|BA|BIOH|HCR 362
Fall 2020 COVID19|BA|BIOH|HON 251
Fall 2020 COVID19|BA|BIOH|HON 355
Fall 2020 COVID19|BA|BIOH|HON 393
Fall 2020 COVID19|BA|BIOH|MGT 1XX
Fall 2020 COVID19|BA|BIOH|MGT 2XX
Fall 2020 COVID19|BA|BIOH|MKT 2XX
Fall 2020 COVID19|BA|BIOH|MTH 090
Fall 2020 COVID19|BA|BIOH|MTH 111
Fall 2020 COVID19|BA|BIOH|MTH 120
Fall 2020 COVID19|BA|BIOH|MTP 320
Fall 2020 COVID19|BA|BIOH|MTP 321
Fall 2020 COVID19|BA|BIOH|MUS 201
Fall 2020 COVID19|BA|BIOH|NSC 180
Fall 2020 COVID19|BA|BIOH|NSC 373
Fall 2020 COVID19|BA|BIOH|PED 1XX
Fall 2020 COVID19|BA|BIOH|PHL 101
Fall 2020 COVID19|BA|BIOH|PHL 167
Fall 2020 COVID19|BA|BIOH|PHY 110
Fall 2020 COVID19|BA|BIOH|PHY 143
Fall 2020 COVID19|BA|BIOH|PSY 100
Fall 2020 COVID19|BA|BIOH|PSY 313
Fall 2020 COVID19|BA|BIOH|PSY 315
Fall 2020 COVID19|BA|BIOH|PSY 317
Fall 2020 COVID19|BA|BIOH|PSY 319
Fall 2020 COVID19|BA|BIOH|PSY 322
Fall 2020 COVID19|BA|BIOH|PTP 201
Fall 2020 COVID19|BA|BIOH|RSP 1XX
Fall 2020 COVID19|BA|BIOH|RSP 2XX
Fall 2020 COVID19|BA|BIOH|SCM 211
Fall 2020 COVID19|BA|BIOH|SOC 100
Fall 2020 COVID19|BA|BIOH|SOC 215
Fall 2020 COVID19|BA|BIOH|SPN 111
Fall 2020 COVID19|BA|BIOH|SPN 112
Fall 2020 COVID19|BA|BIOH|UNV 100
Fall 2020 COVID19|BA|BIOH|URP 140
Fall 2020 COVID19|BA|BIOH|WGS 167
Fall 2020 COVID19|BA|BIOH|WGS 201
Fall 2020 COVID19|BA|CHM|ANT 271
Fall 2020 COVID19|BA|CHM|ARH 110
Fall 2020 COVID19|BA|CHM|BIO 326
Fall 2020 COVID19|BA|CHM|CHM 310
Fall 2020 COVID19|BA|CHM|CHM 340
Fall 2020 COVID19|BA|CHM|CHM 341
Fall 2020 COVID19|BA|CHM|CHM 344
Fall 2020 COVID19|BA|CHM|CHM 350
Fall 2020 COVID19|BA|CHM|CHM 366
Fall 2020 COVID19|BA|CHM|CHM 367
Fall 2020 COVID19|BA|CHM|FRN 111
Fall 2020 COVID19|BA|CHM|PHL 203
Fall 2020 COVID19|BA|CHM|SPN 303
Fall 2020 COVID19|BA|COM|AFA 101
Fall 2020 COVID19|BA|COM|AFA 207
Fall 2020 COVID19|BA|COM|AFA 304
Fall 2020 COVID19|BA|COM|ARH 111
Fall 2020 COVID19|BA|COM|ARH 140
Fall 2020 COVID19|BA|COM|ARH 303
Fall 2020 COVID19|BA|COM|ART 141
Fall 2020 COVID19|BA|COM|ART 160
Fall 2020 COVID19|BA|COM|ART 203
Fall 2020 COVID19|BA|COM|ART 232
Fall 2020 COVID19|BA|COM|ART 252
Fall 2020 COVID19|BA|COM|ART 334
Fall 2020 COVID19|BA|COM|ASL 111
Fall 2020 COVID19|BA|COM|AST 120
Fall 2020 COVID19|BA|COM|BIO 103
Fall 2020 COVID19|BA|COM|BIO 104
Fall 2020 COVID19|BA|COM|BIO 135
Fall 2020 COVID19|BA|COM|BUS 110
Fall 2020 COVID19|BA|COM|BUS 115
Fall 2020 COVID19|BA|COM|BUS 1XX
Fall 2020 COVID19|BA|COM|CHM 135
Fall 2020 COVID19|BA|COM|CHM 150
Fall 2020 COVID19|BA|COM|CHM 151
Fall 2020 COVID19|BA|COM|CIS 128
Fall 2020 COVID19|BA|COM|COM 170
Fall 2020 COVID19|BA|COM|COM 1XX
Fall 2020 COVID19|BA|COM|COM 200
Fall 2020 COVID19|BA|COM|COM 204
Fall 2020 COVID19|BA|COM|COM 210
Fall 2020 COVID19|BA|COM|COM 225
Fall 2020 COVID19|BA|COM|COM 226
Fall 2020 COVID19|BA|COM|COM 241
Fall 2020 COVID19|BA|COM|COM 261
Fall 2020 COVID19|BA|COM|COM 281
Fall 2020 COVID19|BA|COM|COM 305
Fall 2020 COVID19|BA|COM|COM 306
Fall 2020 COVID19|BA|COM|COM 308
Fall 2020 COVID19|BA|COM|COM 338
Fall 2020 COVID19|BA|COM|COM 361
Fall 2020 COVID19|BA|COM|COM 381
Fall 2020 COVID19|BA|COM|COM 382
Fall 2020 COVID19|BA|COM|COM 398
Fall 2020 COVID19|BA|COM|COM 426
Fall 2020 COVID19|BA|COM|DAN 102
Fall 2020 COVID19|BA|COM|ECN 202
Fall 2020 COVID19|BA|COM|EDM 100
Fall 2020 COVID19|BA|COM|EIM 340
Fall 2020 COVID19|BA|COM|ENG 111
Fall 2020 COVID19|BA|COM|ENG 112
Fall 2020 COVID19|BA|COM|ENG 156
Fall 2020 COVID19|BA|COM|ENG 202
Fall 2020 COVID19|BA|COM|ENG 213
Fall 2020 COVID19|BA|COM|ENG 252
Fall 2020 COVID19|BA|COM|ENG 354
Fall 2020 COVID19|BA|COM|ENG 392
Fall 2020 COVID19|BA|COM|ESS 100
Fall 2020 COVID19|BA|COM|ESS 140
Fall 2020 COVID19|BA|COM|FIN 269
Fall 2020 COVID19|BA|COM|FRN 111
Fall 2020 COVID19|BA|COM|FRN 112
Fall 2020 COVID19|BA|COM|GER 111
Fall 2020 COVID19|BA|COM|HCR 101
Fall 2020 COVID19|BA|COM|HCR 107
Fall 2020 COVID19|BA|COM|HCR 117
Fall 2020 COVID19|BA|COM|HIS 1XX
Fall 2020 COVID19|BA|COM|HIS 299
Fall 2020 COVID19|BA|COM|HIS 360
Fall 2020 COVID19|BA|COM|HON 355
Fall 2020 COVID19|BA|COM|HON 393
Fall 2020 COVID19|BA|COM|HON 498
Fall 2020 COVID19|BA|COM|HUM 1XX
Fall 2020 COVID19|BA|COM|MGT 341
Fall 2020 COVID19|BA|COM|MGT 344
Fall 2020 COVID19|BA|COM|MKT 330
Fall 2020 COVID19|BA|COM|MTH 090
Fall 2020 COVID19|BA|COM|MTH 111
Fall 2020 COVID19|BA|COM|MTH 121
Fall 2020 COVID19|BA|COM|MTH 1XX
Fall 2020 COVID19|BA|COM|MUS 226
Fall 2020 COVID19|BA|COM|NAT 1XX
Fall 2020 COVID19|BA|COM|NUR 110
Fall 2020 COVID19|BA|COM|NUR 369
Fall 2020 COVID19|BA|COM|PED 1XX
Fall 2020 COVID19|BA|COM|PHL 101
Fall 2020 COVID19|BA|COM|PHL 167
Fall 2020 COVID19|BA|COM|PHL 203
Fall 2020 COVID19|BA|COM|POL 120
Fall 2020 COVID19|BA|COM|POL 230
Fall 2020 COVID19|BA|COM|POL 261
Fall 2020 COVID19|BA|COM|PSY 100
Fall 2020 COVID19|BA|COM|PSY 180
Fall 2020 COVID19|BA|COM|PSY 1XX
Fall 2020 COVID19|BA|COM|PSY 309
Fall 2020 COVID19|BA|COM|PSY 315
Fall 2020 COVID19|BA|COM|PSY 336
Fall 2020 COVID19|BA|COM|PSY 377
Fall 2020 COVID19|BA|COM|SAT 202
Fall 2020 COVID19|BA|COM|SCI 125
Fall 2020 COVID19|BA|COM|SOC 100
Fall 2020 COVID19|BA|COM|SOC 215
Fall 2020 COVID19|BA|COM|SPN 111
Fall 2020 COVID19|BA|COM|SPN 112
Fall 2020 COVID19|BA|COM|SPN 211
Fall 2020 COVID19|BA|COM|SPN 303
Fall 2020 COVID19|BA|COM|THE 210
Fall 2020 COVID19|BA|COM|THE 214
Fall 2020 COVID19|BA|COM|THE 271
Fall 2020 COVID19|BA|COM|THE 300
Fall 2020 COVID19|BA|COM|THE 336
Fall 2020 COVID19|BA|COM|URP 140
Fall 2020 COVID19|BA|COM|WGS 167
Fall 2020 COVID19|BA|COM|WGS 378
Fall 2020 COVID19|BA|CRJ|AFA 101
Fall 2020 COVID19|BA|CRJ|AFA 130
Fall 2020 COVID19|BA|CRJ|AFA 204
Fall 2020 COVID19|BA|CRJ|AFA 207
Fall 2020 COVID19|BA|CRJ|AFA 318
Fall 2020 COVID19|BA|CRJ|ANT 105
Fall 2020 COVID19|BA|CRJ|ARB 111
Fall 2020 COVID19|BA|CRJ|ARH 111
Fall 2020 COVID19|BA|CRJ|ARH 303
Fall 2020 COVID19|BA|CRJ|ART 120
Fall 2020 COVID19|BA|CRJ|BIO 167
Fall 2020 COVID19|BA|CRJ|BIO 168
Fall 2020 COVID19|BA|CRJ|BIO 326
Fall 2020 COVID19|BA|CRJ|BIO 421
Fall 2020 COVID19|BA|CRJ|BIO 423
Fall 2020 COVID19|BA|CRJ|CDR 330
Fall 2020 COVID19|BA|CRJ|CHM 135
Fall 2020 COVID19|BA|CRJ|CHM 260
Fall 2020 COVID19|BA|CRJ|CIS 128
Fall 2020 COVID19|BA|CRJ|COM 200
Fall 2020 COVID19|BA|CRJ|CRJ 386
Fall 2020 COVID19|BA|CRJ|CRJ 388
Fall 2020 COVID19|BA|CRJ|CRJ 391
Fall 2020 COVID19|BA|CRJ|CRJ 432
Fall 2020 COVID19|BA|CRJ|CSC 122
Fall 2020 COVID19|BA|CRJ|CSC 310
Fall 2020 COVID19|BA|CRJ|ENG 112
Fall 2020 COVID19|BA|CRJ|ENG 213
Fall 2020 COVID19|BA|CRJ|ESS 100
Fall 2020 COVID19|BA|CRJ|FIN 269
Fall 2020 COVID19|BA|CRJ|FRN 111
Fall 2020 COVID19|BA|CRJ|FRN 112
Fall 2020 COVID19|BA|CRJ|GEO 452
Fall 2020 COVID19|BA|CRJ|HCR 101
Fall 2020 COVID19|BA|CRJ|HCR 107
Fall 2020 COVID19|BA|CRJ|HCR 119
Fall 2020 COVID19|BA|CRJ|HIS 112
Fall 2020 COVID19|BA|CRJ|HON 393
Fall 2020 COVID19|BA|CRJ|HON 498
Fall 2020 COVID19|BA|CRJ|MTH 090
Fall 2020 COVID19|BA|CRJ|MTH 111
Fall 2020 COVID19|BA|CRJ|MUS 100
Fall 2020 COVID19|BA|CRJ|MUS 245
Fall 2020 COVID19|BA|CRJ|NSC 207
Fall 2020 COVID19|BA|CRJ|NUR 1XX
Fall 2020 COVID19|BA|CRJ|NUR 233
Fall 2020 COVID19|BA|CRJ|NUR 2XX
Fall 2020 COVID19|BA|CRJ|PHL 162
Fall 2020 COVID19|BA|CRJ|POL 120
Fall 2020 COVID19|BA|CRJ|POL 190
Fall 2020 COVID19|BA|CRJ|POL 230
Fall 2020 COVID19|BA|CRJ|PSY 100
Fall 2020 COVID19|BA|CRJ|PSY 315
Fall 2020 COVID19|BA|CRJ|PSY 377
Fall 2020 COVID19|BA|CRJ|SAT 202
Fall 2020 COVID19|BA|CRJ|SAT 320
Fall 2020 COVID19|BA|CRJ|SOC 210
Fall 2020 COVID19|BA|CRJ|SOC 215
Fall 2020 COVID19|BA|CRJ|SOC 270
Fall 2020 COVID19|BA|CRJ|SOC 299
Fall 2020 COVID19|BA|CRJ|SOC 301
Fall 2020 COVID19|BA|CRJ|SOC 354
Fall 2020 COVID19|BA|CRJ|SOC 368
Fall 2020 COVID19|BA|CRJ|SOC 380
Fall 2020 COVID19|BA|CRJ|SOC 456
Fall 2020 COVID19|BA|CRJ|SPN 211
Fall 2020 COVID19|BA|CRJ|SWR 338
Fall 2020 COVID19|BA|CRJ|THE 100
Fall 2020 COVID19|BA|CRJ|THE 272
Fall 2020 COVID19|BA|DAN|COM 241
Fall 2020 COVID19|BA|DAN|DAN 102
Fall 2020 COVID19|BA|DAN|DAN 140
Fall 2020 COVID19|BA|DAN|DAN 150
Fall 2020 COVID19|BA|DAN|DAN 204
Fall 2020 COVID19|BA|DAN|DAN 219
Fall 2020 COVID19|BA|DAN|DAN 300
Fall 2020 COVID19|BA|DAN|DAN 319
Fall 2020 COVID19|BA|DAN|DAN 351
Fall 2020 COVID19|BA|DAN|DAN 401
Fall 2020 COVID19|BA|DAN|ESS 100
Fall 2020 COVID19|BA|DAN|SPN 111
Fall 2020 COVID19|BA|DAN|SWR 440
Fall 2020 COVID19|BA|DAN|SWR 460
Fall 2020 COVID19|BA|DAN|SWR 470
Fall 2020 COVID19|BA|DAN|THE 122
Fall 2020 COVID19|BA|DAN|THE 214
Fall 2020 COVID19|BA|DAN|THE 425
Fall 2020 COVID19|BA|ECN|ANT 100
Fall 2020 COVID19|BA|ECN|ANT 301
Fall 2020 COVID19|BA|ECN|ARB 111
Fall 2020 COVID19|BA|ECN|ART 103
Fall 2020 COVID19|BA|ECN|ART 120
Fall 2020 COVID19|BA|ECN|ART 122
Fall 2020 COVID19|BA|ECN|ASL 112
Fall 2020 COVID19|BA|ECN|BIO 326
Fall 2020 COVID19|BA|ECN|BUS 250
Fall 2020 COVID19|BA|ECN|BUS 2XX
Fall 2020 COVID19|BA|ECN|CHM 140
Fall 2020 COVID19|BA|ECN|CHM 332
Fall 2020 COVID19|BA|ECN|CHM 333
Fall 2020 COVID19|BA|ECN|CIS 151
Fall 2020 COVID19|BA|ECN|COM 204
Fall 2020 COVID19|BA|ECN|COM 281
Fall 2020 COVID19|BA|ECN|CSC 175
Fall 2020 COVID19|BA|ECN|ECN 201
Fall 2020 COVID19|BA|ECN|ECN 315
Fall 2020 COVID19|BA|ECN|ECN 330
Fall 2020 COVID19|BA|ECN|ECN 360
Fall 2020 COVID19|BA|ECN|ECN 391
Fall 2020 COVID19|BA|ECN|ECN 499
Fall 2020 COVID19|BA|ECN|EGR 466
Fall 2020 COVID19|BA|ECN|ELE 1XX
Fall 2020 COVID19|BA|ECN|ENG 111
Fall 2020 COVID19|BA|ECN|ENG 2XX
Fall 2020 COVID19|BA|ECN|ESS 103
Fall 2020 COVID19|BA|ECN|ESS 150
Fall 2020 COVID19|BA|ECN|ESS 151
Fall 2020 COVID19|BA|ECN|ESS 285
Fall 2020 COVID19|BA|ECN|FIN 365
Fall 2020 COVID19|BA|ECN|FIN 461
Fall 2020 COVID19|BA|ECN|FRN 111
Fall 2020 COVID19|BA|ECN|HCR 101
Fall 2020 COVID19|BA|ECN|HCR 107
Fall 2020 COVID19|BA|ECN|HIS 2XX
Fall 2020 COVID19|BA|ECN|HIS 360
Fall 2020 COVID19|BA|ECN|HON 393
Fall 2020 COVID19|BA|ECN|HUM 1XX
Fall 2020 COVID19|BA|ECN|MTH 120
Fall 2020 COVID19|BA|ECN|MTH 230
Fall 2020 COVID19|BA|ECN|MTH 305
Fall 2020 COVID19|BA|ECN|MUS 100
Fall 2020 COVID19|BA|ECN|PHS 210
Fall 2020 COVID19|BA|ECN|POL 261
Fall 2020 COVID19|BA|ECN|PSY 100
Fall 2020 COVID19|BA|ECN|PSY 309
Fall 2020 COVID19|BA|ECN|PSY 315
Fall 2020 COVID19|BA|ECN|SEC 320
Fall 2020 COVID19|BA|ECN|SEC 445
Fall 2020 COVID19|BA|ECN|SOC 100
Fall 2020 COVID19|BA|ECN|SOC 215
Fall 2020 COVID19|BA|ELED|ENG 241
Fall 2020 COVID19|BA|ELED|LIN 200
Fall 2020 COVID19|BA|ENGS|ANT 110
Fall 2020 COVID19|BA|ENGS|COM 170
Fall 2020 COVID19|BA|ENGS|ENG 241
Fall 2020 COVID19|BA|ENGS|ENG 315
Fall 2020 COVID19|BA|ENGS|ENG 354
Fall 2020 COVID19|BA|ENGS|ENG 400
Fall 2020 COVID19|BA|ENGS|ESS 100
Fall 2020 COVID19|BA|ENGS|HCR 117
Fall 2020 COVID19|BA|ENGS|LIN 244
Fall 2020 COVID19|BA|ENGS|MUS 401
Fall 2020 COVID19|BA|ENGS|PSY 180
Fall 2020 COVID19|BA|ENGS|PSY 313
Fall 2020 COVID19|BA|ENGS|TEL 410
Fall 2020 COVID19|BA|ENGT|AFA 101
Fall 2020 COVID19|BA|ENGT|ANT 271
Fall 2020 COVID19|BA|ENGT|COM 170
Fall 2020 COVID19|BA|ENGT|EDR 437
Fall 2020 COVID19|BA|ENGT|ENG 213
Fall 2020 COVID19|BA|ENGT|ENG 241
Fall 2020 COVID19|BA|ENGT|ENG 252
Fall 2020 COVID19|BA|ENGT|ENG 295
Fall 2020 COVID19|BA|ENGT|ENG 315
Fall 2020 COVID19|BA|ENGT|ENG 354
Fall 2020 COVID19|BA|ENGT|ENG 385
Fall 2020 COVID19|BA|ENGT|FRN 112
Fall 2020 COVID19|BA|ENGT|HCR 117
Fall 2020 COVID19|BA|ENGT|HCR 203
Fall 2020 COVID19|BA|ENGT|LIN 244
Fall 2020 COVID19|BA|ENGT|MTH 111
Fall 2020 COVID19|BA|ENGT|PSY 100
Fall 2020 COVID19|BA|ENGT|PSY 313
Fall 2020 COVID19|BA|ENGT|PSY 315
Fall 2020 COVID19|BA|ENGT|PSY 336
Fall 2020 COVID19|BA|ENGT|SEC 201
Fall 2020 COVID19|BA|ENGT|SEC 320
Fall 2020 COVID19|BA|ENGT|SEC 330
Fall 2020 COVID19|BA|ENGT|SEC 347
Fall 2020 COVID19|BA|ENGT|SEC 445
Fall 2020 COVID19|BA|ENGT|SEC 469
Fall 2020 COVID19|BA|ENGT|SEC 499
Fall 2020 COVID19|BA|ENGT|SOC 100
Fall 2020 COVID19|BA|ENGT|SPN 111
Fall 2020 COVID19|BA|ENGW|ARH 303
Fall 2020 COVID19|BA|ENGW|ART 141
Fall 2020 COVID19|BA|ENGW|ART 281
Fall 2020 COVID19|BA|ENGW|ASL 111
Fall 2020 COVID19|BA|ENGW|AST 120
Fall 2020 COVID19|BA|ENGW|CHN 109
Fall 2020 COVID19|BA|ENGW|CHN 111
Fall 2020 COVID19|BA|ENGW|CIS 128
Fall 2020 COVID19|BA|ENGW|COM 160
Fall 2020 COVID19|BA|ENGW|COM 200
Fall 2020 COVID19|BA|ENGW|COM 301
Fall 2020 COVID19|BA|ENGW|COM 338
Fall 2020 COVID19|BA|ENGW|CRJ 386
Fall 2020 COVID19|BA|ENGW|CSC 175
Fall 2020 COVID19|BA|ENGW|DAN 102
Fall 2020 COVID19|BA|ENGW|ENG 213
Fall 2020 COVID19|BA|ENGW|ENG 241
Fall 2020 COVID19|BA|ENGW|ENG 252
Fall 2020 COVID19|BA|ENGW|ENG 295
Fall 2020 COVID19|BA|ENGW|ENG 315
Fall 2020 COVID19|BA|ENGW|ENG 338
Fall 2020 COVID19|BA|ENGW|ENG 354
Fall 2020 COVID19|BA|ENGW|ENG 363
Fall 2020 COVID19|BA|ENGW|ENG 385
Fall 2020 COVID19|BA|ENGW|ENG 392
Fall 2020 COVID19|BA|ENGW|ENG 399
Fall 2020 COVID19|BA|ENGW|ENG 400
Fall 2020 COVID19|BA|ENGW|ESS 100
Fall 2020 COVID19|BA|ENGW|FIN 269
Fall 2020 COVID19|BA|ENGW|HCR 203
Fall 2020 COVID19|BA|ENGW|HON 393
Fall 2020 COVID19|BA|ENGW|HON 496
Fall 2020 COVID19|BA|ENGW|HON 498
Fall 2020 COVID19|BA|ENGW|LIN 200
Fall 2020 COVID19|BA|ENGW|NSC 373
Fall 2020 COVID19|BA|ENGW|PHL 165
Fall 2020 COVID19|BA|ENGW|PHL 202
Fall 2020 COVID19|BA|ENGW|PSY 100
Fall 2020 COVID19|BA|ENGW|PSY 317
Fall 2020 COVID19|BA|ENGW|SCI 125
Fall 2020 COVID19|BA|ENGW|SOC 354
Fall 2020 COVID19|BA|ENGW|SOC 380
Fall 2020 COVID19|BA|ENGW|SPN 111
Fall 2020 COVID19|BA|ENGW|SPN 303
Fall 2020 COVID19|BA|ENGW|TEL 410
Fall 2020 COVID19|BA|ENGW|THE 204
Fall 2020 COVID19|BA|ENGW|WGS 378
Fall 2020 COVID19|BA|ENSL|ANT 271
Fall 2020 COVID19|BA|ENSL|ANT 378
Fall 2020 COVID19|BA|ENSL|BUS 250
Fall 2020 COVID19|BA|ENSL|ENG 205
Fall 2020 COVID19|BA|ENSL|ENG 213
Fall 2020 COVID19|BA|ENSL|ENG 315
Fall 2020 COVID19|BA|ENSL|ENG 385
Fall 2020 COVID19|BA|ENSL|ENG 400
Fall 2020 COVID19|BA|ENSL|HCR 203
Fall 2020 COVID19|BA|ENSL|HCR 300
Fall 2020 COVID19|BA|ENSL|HIS 121
Fall 2020 COVID19|BA|ENSL|LIN 200
Fall 2020 COVID19|BA|ENSL|PSY 180
Fall 2020 COVID19|BA|ENSL|SEC 201
Fall 2020 COVID19|BA|ENSL|SOC 299
Fall 2020 COVID19|BA|ENSL|SOC 301
Fall 2020 COVID19|BA|HIS|ACC 202
Fall 2020 COVID19|BA|HIS|ANT 271
Fall 2020 COVID19|BA|HIS|ANT 378
Fall 2020 COVID19|BA|HIS|ARH 110
Fall 2020 COVID19|BA|HIS|ART 122
Fall 2020 COVID19|BA|HIS|BIO 103
Fall 2020 COVID19|BA|HIS|BIO 104
Fall 2020 COVID19|BA|HIS|BUS 110
Fall 2020 COVID19|BA|HIS|BUS 115
Fall 2020 COVID19|BA|HIS|CHM 140
Fall 2020 COVID19|BA|HIS|CIS 128
Fall 2020 COVID19|BA|HIS|COM 170
Fall 2020 COVID19|BA|HIS|COM 210
Fall 2020 COVID19|BA|HIS|COM 381
Fall 2020 COVID19|BA|HIS|CSC 122
Fall 2020 COVID19|BA|HIS|ECN 201
Fall 2020 COVID19|BA|HIS|ECN 202
Fall 2020 COVID19|BA|HIS|EDM 100
Fall 2020 COVID19|BA|HIS|ENG 111
Fall 2020 COVID19|BA|HIS|ENG 112
Fall 2020 COVID19|BA|HIS|ENG 156
Fall 2020 COVID19|BA|HIS|ENG 205
Fall 2020 COVID19|BA|HIS|ENG 241
Fall 2020 COVID19|BA|HIS|ENG 338
Fall 2020 COVID19|BA|HIS|ENG 385
Fall 2020 COVID19|BA|HIS|ENG 400
Fall 2020 COVID19|BA|HIS|ESS 100
Fall 2020 COVID19|BA|HIS|ESS 140
Fall 2020 COVID19|BA|HIS|FIN 269
Fall 2020 COVID19|BA|HIS|FRN 111
Fall 2020 COVID19|BA|HIS|GER 111
Fall 2020 COVID19|BA|HIS|HCR 101
Fall 2020 COVID19|BA|HIS|HCR 203
Fall 2020 COVID19|BA|HIS|HIS 112
Fall 2020 COVID19|BA|HIS|HIS 113
Fall 2020 COVID19|BA|HIS|HIS 114
Fall 2020 COVID19|BA|HIS|HIS 120
Fall 2020 COVID19|BA|HIS|HIS 121
Fall 2020 COVID19|BA|HIS|HIS 222
Fall 2020 COVID19|BA|HIS|HIS 299
Fall 2020 COVID19|BA|HIS|HIS 360
Fall 2020 COVID19|BA|HIS|HIS 365
Fall 2020 COVID19|BA|HIS|HIS 479
Fall 2020 COVID19|BA|HIS|LIN 200
Fall 2020 COVID19|BA|HIS|MTH 090
Fall 2020 COVID19|BA|HIS|MUS 100
Fall 2020 COVID19|BA|HIS|MUS 203
